FORMA|KEY|LEMMA|ETIMO|LANG|DATE|POS|FUNCT|gender|number|case|degree|deterType|MWEs|pronType|person|verbForm|mood|tense|voice|property|adpType|advType|advType2|numType|partType|g|h|p|v|LOC.1|LOC.2|LOC.3|LOC.4|DATE.0|DATE.1|DATE.2
a|a|avoir|HABERE|||verb|||Sing||||||3|Fin|Ind|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
a|a1|avoir|HABERE|||verb|||Sing||||||3|Fin|Ind|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
a|a2|avoir|HABERE|||verb|auxTens||Sing||||MWEs||3|Fin|Ind|Pres||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aasier|aasier|aaisier|ADJACENS|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
abandona|abandona|abandoner|*BAN|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
abandonance|abandonance|abondance|ABUNDANTIA|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
abandonee|abandonee|abandoner|*BAN|||verb|compTens|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
abandoneement|abandoneement|abandoneement|*BAN|||adverb||||||||||||||||Man||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
abandonner|abandonner|abandoner|*BAN|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
abatent|abatent1|abatre|ABATTUERE|||verb|||Plur||||||3|Fin|Sub|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
abitee|abitee|abiter|HABITARE|||verb|compPass|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
abondance|abondance|abondance|ABUNDANTIA|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
achater|achater|achater|*ACCAPTARE|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
achever|achever|achever|CAPUT|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
acier|acier1|acier|ACIARIUM|||noun||Masc|Sing|Acc||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
acoilli|acoilli|acoillir|*ACCOLLIGERE|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
acollee|acollee|acoler|COLLUM|||verb|compTens|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aconpaignier|aconpaignier|acompagnier|COMPANIO|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
