FORMA|KEY|SIGL
coment|coment|g
li|li|g
roi|roi|g
pelleus|pelleus|g
##|##
prist|prist|g
haine|haine|g
et|et|g
fellonie|fellonie|g
contre|contre|g
##|##
son|son1|g
nevo|nevo|g
jason|jason1|g
et|et|g
coment|coment|g
##|##
il|il|g
pensa|pensa|g
de|de|g
lui|lui|g
hocire|hocire|g
##|##
.|.|g
or|or|g
dit|dit|g
li|li|g
contes|contes|g
##|##
et|et|g
la|la|g
veraie|veraie|g
estoire|estoire|g
de|de|g
##|##
daire|daire1|g
le|le6|g
nos|nos1|g
tesmoigne|tesmoigne|g
qe|qe3|g
##|##
pelleus|pelleus|g
fu|fu|g
un|un|g
riche|riche2|g
roi|roi|g
##|##
saje|saje|g
et|et|g
cortois|cortois|g
et|et|g
vaillant|vaillant|g
##|##
.|.|g
celui|celui|g
pelleus|pelleus|g
tenoit|tenoit|g
mult|mult|g
##|##
grant|grant4|g
partie|partie|g
de|de|g
grese|grese|g
desous|desous|g
##|##
sa|sa|g
seignorie|seignorie|g
;|;|g
son|son1|g
reigne|reigne|g
tenoit|tenoit|g
##|##
il|il|g
quitement|quitement|g
et|et|g
en|en|g
pais|pais|g
##|##
et|et|g
loiaument|loiaument|g
.|.|g
celui|celui|g
pelleus|pelleus|g
##|##
avoit|avoit|g
un|un|g
sien|sien|g
frere|frere|g
en_la|en_la|g
##|##
cité|cité|g
de|de|g
penolope|penolope|g
dou_qel|dou_qel|g
l’|l’1|g
##|##
estoire|estoire|g
ne|ne|g
nos|nos1|g
raconte|raconte|g
qel|qel|g
##|##
estoit|estoit|g
sa|sa|g
seignorie|seignorie|g
ne|ne|g
c’|c’|g
##|##
il|il|g
estoit|estoit|g
conte|conte|g
qel|qel1|g
esto|esto|g
##|##
estoie|estoie|g
duc|duc|g
.|.|g
de|de|g
celui|celui1|g
##|##
frere|frere|g
pelleus|pelleus1|g
nasqi|nasqi|g
un|un|g
fiz|fiz|g
##|##
qi|qi|g
estoit|estoit1|g
mult|mult|g
biau|biau|g
damoisel|damoisel|g
##|##
et|et|g
vaillant|vaillant|g
car|car|g
de|de|g
sa|sa|g
##|##
enfante|enfante|g
comenca|comenca|g
il|il|g
à|à|g
sormonter|sormonter|g
##|##
tot|tot1|g
les|les|g
damoiseles|damoiseles|g
de|de|g
son|son1|g
##|##
païs|païs|g
neis|neis|g
tos|tos1|g
cels|cels1|g
dou|dou|g
##|##
monde|monde1|g
car|car|g
il|il|g
estoit|estoit1|g
mult|mult|g
##|##
vaillant|vaillant|g
et|et|g
preuz|preuz|g
et|et|g
saje|saje|g
##|##
.|.|g
celui|celui|g
jason|jason|g
estoit|estoit3|g
tant|tant|g
##|##
montés|montés|g
de|de|g
sa|sa|g
enfante|enfante|g
par|par|g
##|##
sa|sa|g
vallor|vallor|g
et|et|g
par|par|g
sa|sa|g
##|##
proësse|proësse|g
car|car|g
son|son|g
nom|nom|g
estoit|estoit2|g
##|##
coneü|coneü|g
et|et|g
redoutés|redoutés|g
par|par|g
maintes|maintes3|g
##|##
terres|terres|g
et|et|g
son|son|g
afer|afer|g
aloit|aloit2|g
##|##
chascun|chascun|g
jor|jor|g
multipliant|multipliant|g
plus_et_plus|plus_et_plus|g
.|.|g
##|##
et|et|g
quant|quant|g
pelleus|pelleus|g
vit|vit|g
que|que|g
##|##
jason|jason|g
aloit|aloit2|g
ensi|ensi|g
fesans|fesans|g
et|et|g
##|##
qe|qe3|g
chascun|chascun|g
jor|jor|g
multiplioit|multiplioit|g
plus_et_plus|plus_et_plus|g
##|##
,|,|g
il|il|g
pensa|pensa|g
à|à|g
