FORMA|KEY|SIGL
coment|coment|p
li|li|p
roi|roi|p
pelleus|pelleus|p
##|##
prist|prist|p
haine|haine|p
et|et|p
fellonie|fellonie|p
contre|contre|p
##|##
son|son1|p
nevo|nevo|p
jason|jason1|p
et|et|p
coment|coment|p
##|##
il|il|p
pensa|pensa|p
de|de|p
lui|lui|p
hocire|hocire|p
##|##
.|.|p
or|or|p
dit|dit|p
li|li|p
contes|contes|p
##|##
et|et|p
la|la|p
veraie|veraie|p
estoire|estoire|p
de|de|p
##|##
daire|daire1|p
le|le6|p
nos|nos1|p
tesmoigne|tesmoigne|p
qe|qe3|p
##|##
pelleus|pelleus|p
fu|fu|p
un|un|p
riche|riche2|p
roi|roi|p
##|##
saje|saje|p
et|et|p
cortois|cortois|p
et|et|p
vaillant|vaillant|p
##|##
.|.|p
celui|celui|p
pelleus|pelleus|p
tenoit|tenoit|p
mult|mult|p
##|##
grant|grant4|p
partie|partie|p
de|de|p
grese|grese|p
desous|desous|p
##|##
sa|sa|p
seignorie|seignorie|p
;|;|p
son|son1|p
reigne|reigne|p
tenoit|tenoit|p
##|##
il|il|p
quitement|quitement|p
et|et|p
en|en|p
pais|pais|p
##|##
et|et|p
loiaument|loiaument|p
.|.|p
celui|celui|p
pelleus|pelleus|p
##|##
avoit|avoit|p
un|un|p
sien|sien|p
frere|frere|p
en_la|en_la|p
##|##
cité|cité|p
de|de|p
penolope|penolope|p
dou_qel|dou_qel|p
l’|l’1|p
##|##
estoire|estoire|p
ne|ne|p
nos|nos1|p
raconte|raconte|p
qel|qel|p
##|##
estoit|estoit|p
sa|sa|p
seignorie|seignorie|p
ne|ne|p
c’|c’|p
##|##
il|il|p
estoit|estoit|p
conte|conte|p
qel|qel1|p
esto|esto|p
##|##
estoie|estoie|p
duc|duc|p
.|.|p
de|de|p
celui|celui1|p
##|##
frere|frere|p
pelleus|pelleus1|p
nasqi|nasqi|p
un|un|p
fiz|fiz|p
##|##
qi|qi|p
estoit|estoit1|p
mult|mult|p
biau|biau|p
damoisel|damoisel|p
##|##
et|et|p
vaillant|vaillant|p
car|car|p
de|de|p
sa|sa|p
##|##
enfante|enfante|p
comenca|comenca|p
il|il|p
à|à|p
sormonter|sormonter|p
##|##
tot|tot1|p
les|les|p
damoiseles|damoiseles|p
de|de|p
son|son1|p
##|##
païs|païs|p
neis|neis|p
tos|tos1|p
cels|cels1|p
dou|dou|p
##|##
monde|monde1|p
car|car|p
il|il|p
estoit|estoit1|p
mult|mult|p
##|##
vaillant|vaillant|p
et|et|p
preuz|preuz|p
et|et|p
saje|saje|p
##|##
.|.|p
celui|celui|p
jason|jason|p
estoit|estoit3|p
tant|tant|p
##|##
montés|montés|p
de|de|p
sa|sa|p
enfante|enfante|p
par|par|p
##|##
sa|sa|p
vallor|vallor|p
et|et|p
par|par|p
sa|sa|p
##|##
proësse|proësse|p
car|car|p
son|son|p
nom|nom|p
estoit|estoit2|p
##|##
coneü|coneü|p
et|et|p
redoutés|redoutés|p
par|par|p
maintes|maintes3|p
##|##
terres|terres|p
et|et|p
son|son|p
afer|afer|p
aloit|aloit2|p
##|##
chascun|chascun|p
jor|jor|p
multipliant|multipliant|p
plus_et_plus|plus_et_plus|p
.|.|p
##|##
et|et|p
quant|quant|p
pelleus|pelleus|p
vit|vit|p
que|que|p
##|##
jason|jason|p
aloit|aloit2|p
ensi|ensi|p
fesans|fesans|p
et|et|p
##|##
qe|qe3|p
chascun|chascun|p
jor|jor|p
multiplioit|multiplioit|p
plus_et_plus|plus_et_plus|p
##|##
,|,|p
il|il|p
pensa|pensa|p
à|à|p
soi|soi|p
##|##
meïsmes|meïsmes1|p
qe|qe3|p
,|,|p
c’|c’|p
il|il|p
##|##
vivoit|vivoit|p
longuement|longuement|p
,|,|p
il|il|p
le|le4|p
##|##
poroit|poroit|p
desiriter|desiriter|p
et|et|p
chaser|chaser|p
fors|fors|p
##|##
de|de|p
sa|sa|p
terre|terre|p
et|et|p
de|de|p
##|##
son|son1|p
reigne|reigne|p
à_ce_q’|à_ce_q’|p
il|il|p
estoit|estoit2|p
##|##
mult|mult|p
amés|amés2|p
de|de|p
tot|tot1|p
les|les|p
##|##
aus|aus1|p
barons|barons3|p
de|de|p
son|son1|p
reigne|reigne|p
##|##
por|por|p
sa|sa|p
valor|valor|p
et|et|p
por|por|p
##|##
sa|sa|p
bonté|bonté|p
.|.|p
à|à|p
ce|ce1|p
##|##
pensoit|pensoit|p
li|li|p
roi|roi|p
qe|qe|p
mult|mult|p
##|##
grant|grant4|p
paor|paor|p
avoit|avoit|p
de|de|p
son|son1|p
##|##
nevo|nevo|p
qi|qi|p
ne|ne|p
le|le4|p
chasast|chasast|p
##|##
for|for|p
de|de|p
sa|sa|p
terre|terre|p
,|,|p
##|##
car|car|p
il|il|p
connoisoit|connoisoit|p
qe|qe3|p
fere|fere|p
##|##
le|le6|p
peüst|peüst|p
asés|asés|p
legierement|legierement|p
c’|c’|p
##|##
il|il|p
de|de|p
te|te|p
se|se|p
voloit|voloit1|p
##|##
entremetre|entremetre|p
.|.|p
et|et|p
por|por|p
ceste|ceste1|p
##|##
grant|grant4|p
paor|paor|p
prist|prist|p
il|il|p
haine|haine|p
##|##
et|et|p
fellonie|fellonie|p
à|à|p
lui|lui|p
,|,|p
##|##
si|si|p
pensoit|pensoit|p
tot|tot3|p
jor|jor|p
coment|coment|p
##|##
il|il|p
peüst|peüst|p
envoier|envoier|p
en|en|p
male|male|p
##|##
voie|voie|p
son|son1|p
nevo|nevo|p
;|;|p
asé|asé|p
s’|s’|p
##|##
engignoit|engignoit|p
il|il|p
tot|tot3|p
jor|jor|p
.|.|p
##|##
ja|ja|p
fust|fust1|p
ce_q’|ce_q’|p
il|il|p
ne|ne|p
##|##
fesoit|fesoit|p
nuls|nuls1|p
senblant|senblant|p
.|.|p
coment|coment|p
##|##
pelleus|pelleus|p
pensa|pensa|p
de|de|p
mander|mander|p
jason|jason1|p
##|##
au|au|p
colcos|colcos|p
la|la|p
toison|toison|p
dou|dou|p
##|##
monton|monton1|p
querre|querre|p
.|.|p
en|en|p
celui|celui1|p
##|##
tenz|tenz|p
,|,|p
celonc|celonc|p
ce_qe|ce_qe|p
l’|l’1|p
##|##
estoire|estoire|p
nos|nos1|p
raconte|raconte|p
,|,|p
avoit|avoit1|p
##|##
en|en|p
l’|l’1|p
isle|isle|p
dou|dou|p
colcos|colcos|p
##|##
un|un|p
monton|monton|p
le_qel|le_qel|p
avoit|avoit|p
la|la|p
##|##
toison|toison|p
d’|d’|p
or|or1|p
.|.|p
si|si|p
##|##
estoit|estoit|p
celui|celui|p
monton|monton|p
de|de|p
tel|tel6|p
##|##
vertu|vertu|p
qe|qe3|p
nuls|nuls3|p
ne|ne|p
le|le4|p
##|##
poit|poit|p
prendre|prendre|p
ni|ni|p
avoir|avoir|p
ni|ni|p
##|##
por|por|p
senz|senz1|p
ni|ni|p
por|por|p
hor|hor1|p
##|##
ni|ni|p
por|por|p
argent|argent|p
,|,|p
car|car|p
##|##
il|il|p
estoit|estoit2|p
del|del|p
guise|guise|p
gardés|gardés|p
##|##
q’|q’1|p
il|il|p
n’|n’|p
i|i|p
alast|alast|p
##|##
ja|ja|p
nul|nul|p
home|home|p
vivant|vivant|p
por|por|p
##|##
prer|prer|p
-le|-le|p
q’|q’1|p
il|il|p
ne|ne|p
##|##
li|li2|p
convenist|convenist|p
la|la|p
vie|vie|p
perdre|perdre|p
##|##
.|.|p
si|si|p
en|en2|p
estoit|estoit3|p
ja|ja|p
##|##
por|por|p
lui|lui|p
prendre|prendre|p
et|et|p
avoir|avoir|p
##|##
maintes|maintes|p
vaillans|vaillans|p
homes|homes|p
mors|mors|p
.|.|p
##|##
pelleus|pelleus|p
se|se|p
porpensa|porpensa|p
en|en|p
son|son1|p
##|##
cuor|cuor|p
qe|qe3|p
,|,|p
c’|c’|p
il|il|p
##|##
peüst|peüst|p
tan|tan|p
faire|faire|p
q’|q’1|p
il|il|p
##|##
i|i|p
peüst|peüst|p
jason|jason1|p
envoier|envoier|p
por|por|p
##|##
la|la|p
toison|toison|p
dou|dou|p
monton|monton1|p
qerre|qerre|p
##|##
,|,|p
adonc|adonc|p
seroit|seroit|p
il|il|p
delivré|delivré|p
##|##
de|de|p
lui|lui|p
et|et|p
de|de|p
sa|sa|p
##|##
paor|paor|p
et|et|p
jamés|jamés|p
ne|ne|p
li|li2|p
##|##
convendroit|convendroit|p
de|de|p
lui|lui|p
douter|douter|p
à_ce_q’|à_ce_q’|p
##|##
il|il|p
savoit|savoit|p
qe|qe3|p
jamés|jamés|p
ne|ne|p
##|##
repareroit|repareroit|p
.|.|p
de|de|p
se|se4|p
meïsmes|meïsmes3|p
##|##
.|.|p
ne|ne|p
demora|demora|p
mie|mie|p
grament|grament|p
##|##
qe|qe3|p
li|li|p
roi|roi|p
pelleus|pelleus|p
tint|tint|p
##|##
une|une|p
mult|mult|p
grant|grant4|p
feste|feste|p
de_denz|de_denz|p
##|##
sa|sa|p
cité|cité|p
car|car|p
il|il|p
fist|fist1|p
##|##
asenbler|asenbler|p
tos|tos1|p
les|les|p
aus|aus1|p
barons|barons3|p
##|##
de|de|p
sa|sa|p
contree|contree|p
et|et|p
de|de|p
##|##
son|son1|p
reigne|reigne|p
qi|qi|p
bien|bien4|p
furent|furent|p
##|##
plus|plus|p
de|de|p
viic|viic|p
.|.|p
à|à|p
##|##
cele|cele|p
grant|grant4|p
feste|feste|p
estoit|estoit|p
jason|jason|p
##|##
et|et|p
hercules|hercules|p
.|.|p
celui|celui|p
hercules|hercules|p
##|##
estoit|estoit1|p
mult|mult|p
preus|preus|p
et|et|p
vaillant|vaillant|p
##|##
et|et|p
mult|mult|p
très_fors|très_fors|p
:|:|p
il|il|p
conqist|conqist|p
##|##
par|par|p
sa|sa|p
force|force|p
et|et|p
par|par|p
##|##
sa|sa|p
proësse|proësse|p
maintes|maintes1|p
reignes|reignes|p
et|et|p
##|##
maintes|maintes3|p
regions|regions|p
;|;|p
il|il|p
ficha|ficha|p
les|les|p
##|##
boues|boues|p
qe|qe1|p
alixandre|alixandre|p
le|le|p
grant|grant|p
##|##
trova|trova|p
en|en|p
inde|inde|p
la|la|p
dereaine|dereaine|p
##|##
.|.|p
celui|celui|p
hercules|hercules|p
vainqi|vainqi|p
et|et|p
##|##
hocist|hocist|p
maint|maint1|p
jaans|jaans|p
par|par|p
son|son1|p
##|##
cors|cors|p
seulement|seulement|p
.|.|p
et|et|p
quant|quant|p
##|##
la|la|p
cort|cort|p
hot|hot|p
duree|duree|p
viii|viii|p
##|##
jors|jors|p
tot|tot4|p
pleniers|pleniers|p
,|,|p
li|li|p
##|##
roi|roi|p
apella|apella|p
jason|jason1|p
et|et|p
li|li2|p
##|##
dist|dist|p
:|:|p
"|"||p
biau|biau|p
nies|nies|p
,|,|p
##|##
je|je|p
vos|vos|p
aime|aime|p
,|,|p
veraiement|veraiement|p
##|##
le|le6|p
sachés|sachés|p
,|,|p
sor|sor|p
toutes|toutes|p
##|##
