FORMA|KEY|SIGL
coment|coment|v
paris|paris1|v
et|et|v
sa|sa|v
##|##
conpaignie|conpaignie|v
se|se1|v
mistrent|mistrent|v
en|en|v
mer|mer|v
##|##
or|or|v
dit|dit|v
li|li|v
contes|contes|v
que|que|v
##|##
,|,|v
quant|quant|v
paris|paris1|v
et|et|v
sa|sa|v
##|##
conpaignie|conpaignie|v
furent|furent1|v
en_si|en_si|v
atornés|atornés1|v
com|com|v
##|##
je|je|v
vos|vos|v
ai|ai1|v
dit|dit4|v
,|,|v
##|##
il|il1|v
se|se1|v
mistrent|mistrent|v
de_denz|de_denz|v
lor|lor5|v
##|##
nes|nes1|v
,|,|v
qi|qi|v
bien|bien4|v
furent|furent4|v
##|##
dui_mile|dui_mile|v
chevaliers|chevaliers2|v
preus|preus1|v
et|et|v
hardis|hardis1|v
##|##
et|et|v
conbatans|conbatans|v
.|.|v
li|li|v
roi|roi|v
##|##
priant|priant|v
lor|lor4|v
parla|parla|v
et|et|v
dist|dist|v
##|##
en_tel_mainiere|en_tel_mainiere|v
:|:|v
"|"||v
biauz|biauz4|v
seignors|seignors|v
,|,|v
##|##
fist|fist|v
il|il|v
,|,|v
je|je|v
vos|vos|v
##|##
pri|pri|v
et|et|v
reqier|reqier|v
moult|moult|v
doucement|doucement|v
##|##
,|,|v
tant_com|tant_com|v
je|je|v
plus|plus|v
puis|puis1|v
##|##
,|,|v
qe|qe3|v
vos|vos1|v
soïés|soïés|v
preus|preus1|v
##|##
et|et|v
ardis|ardis1|v
et|et|v
conbatans|conbatans|v
à|à|v
##|##
prendre|prendre|v
vengiance|vengiance|v
de|de|v
la|la|v
honte|honte|v
##|##
qe|qe1|v
les|les|v
gresois|gresois2|v
nos|nos1|v
ont|ont1|v
##|##
fete|fete|v
.|.|v
vos|vos1|v
avés|avés1|v
le|le|v
##|##
droit|droit1|v
devers|devers|v
vos|vos|v
et|et|v
il|il1|v
##|##
ont|ont|v
le|le|v
tort|tort|v
et|et|v
por_ce|por_ce|v
##|##
devés|devés|v
estre|estre3|v
plus|plus|v
seürs|seürs|v
de|de|v
##|##
vaincre|vaincre|v
vostre|vostre7|v
henemis|henemis|v
que|que|v
si|si|v
##|##
ferés|ferés|v
si_com|si_com|v
je|je|v
cuit|cuit1|v
.|.|v
##|##
paris|paris1|v
,|,|v
qi|qi|v
ensi|ensi|v
est|est|v
##|##
,|,|v
sera|sera3|v
vostre|vostre|v
cheveitane|cheveitane|v
,|,|v
##|##
avec|avec|v
lui|lui|v
sera|sera|v
deiphebus|deiphebus|v
et|et|v
##|##
heneas|heneas|v
et|et|v
polidamas|polidamas|v
,|,|v
qi|qi|v
##|##
bien|bien4|v
savront|savront1|v
consoillier|consoillier2|v
paris|paris|v
et|et|v
##|##
vos|vos|v
ausi|ausi|v
.|.|v
et|et|v
les|les|v
##|##
diex|diex1|v
vos|vos|v
doïnent|doïnent|v
tant_de|tant_de|v
grace|grace|v
##|##
qe|qe3|v
vos|vos1|v
ma|ma|v
suor|suor|v
esionan|esionan|v
##|##
puissiés|puissiés|v
avoir|avoir|v
,|,|v
de_part_diex|de_part_diex|v
soit|soit|v
##|##
.|.|v
et|et|v
se|se2|v
avoir|avoir|v
ne|ne|v
##|##
la|la1|v
poés|poés|v
,|,|v
si|si|v
me|me|v
##|##
