FORMA|KEYS|LEMMA|ETIMO|LANG|DATE|POS|FUNCT|GENDER|NUMBER|CASE|DEGREE|DETERTYPE|MWES|PRONTYPE|PERSON|VERBFORM|MOOD|TENSE|VOICE|PROPERTY|ADPTYPE|ADVTYPE|ADVTYPE2|NUMTYPE|PARTTYPE||G|P|V|LOC.1|LOC.2|LOC.3|LOC.4|DATE.0|DATE.1|DATE.2
aasier|aasier|aaisier|ADJACENS|||verb||||||||||Ind|Inf|Pres|Act|Trans|||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
abandona|abandona|abandoner|*BAN|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans|||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
abandonance|abandonance|abondance|ABUNDANTIA|||noun||Fem|Sing||||||||||||||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
abandonee|abandonee|abandoner|*BAN|||verb|compTens|Fem|Sing||||MWEs|||Ind|Part|Past|||||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
abandoneement|abandoneement|abandoneement|*BAN|||adverb||||||||||||||||Man|||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
abandonner|abandonner|abandoner|*BAN|||verb||||||||||Ind|Inf|Pres|Act|Trans|||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
abatent|abatent1|abatre|ABATTUERE|||verb|||Plur||||||3|Fin|Sub|Pres|Act|Trans|||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
abitee|abitee|abiter|HABITARE|||verb|compPass|Fem|Sing||||MWEs|||Ind|Part|Past|||||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
abondance|abondance|abondance|ABUNDANTIA|||noun||Fem|Sing||||||||||||||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
achater|achater|achater|*ACCAPTARE|||verb||||||||||Ind|Inf|Pres|Act|Trans|||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
achever|achever|achever|CAPUT|||verb||||||||||Ind|Inf|Pres|Act|Trans|||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
acier|acier1|acier|ACIARIUM|||noun||Masc|Sing|Acc|||||||||||||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
acoilli|acoilli|acoillir|*ACCOLLIGERE|||verb|||Sing||||||3|Fin|Ind|Past|Act|Trans|||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
acollee|acollee|acoler|COLLUM|||verb|compTens|Fem|Sing||||MWEs|||Ind|Part|Past|||||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
aconpaignier|aconpaignier|acompagnier|COMPANIO|||verb||||||||||Ind|Inf|Pres|Act|Trans|||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
alés|alés3|aler (GDC)|AMBULARE|||verb|||Plur||||||2|Fin|Imp|Pres||Intr|||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
alés|alés5|aler (GDC)|AMBULARE|||verb|auxMod||Plur||||||2|Fin|Imp|Pres|||||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
alés|alés6|aler (GDC)|AMBULARE|||verb|compTens|Masc|Sing||||MWEs|||Ind|Part|Past|||||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
alés|alés7|aler (GDC)|AMBULARE|||verb|compTens|Masc|Plur||||MWEs|||Ind|Part|Past|||||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
aléz|aléz|aler (GDC)|AMBULARE|||verb|compTens|Masc|Sing||||MWEs|||Ind|Part|Past|||||||||g|p|v|grenoble||paris|venezia|XII|XIII|XIV
